S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
1,2019,Lim Chu Kang Beach,"Saturday, 19 October 2019",NUS Ridge View Residential College,Chua siew chin,12,18,166,30,2790,1488,2,63,38,2,1197,2790,1488,0,225,76,4,125,0,31,124,51,399,9,16,5,301,20,3,91,8,2,0,1,1,0,38,8,1,0,25,1,3,0,1197,1020,12,163,2,63,2,45,4,5,7,2,0,1,1,0,,NIL,,,Very good experience for the students! 
2,2019,Lim Chu Kang Beach,"Saturday, 19 October 2019",NTU Earthlink,Phoebe Zhou Huixin,15,32,303,30,10503,1412,16,248,32,2,8793,10503,1412,0,194,57,17,86,1,40,157,16,471,16,18,25,208,0,0,89,17,16,1,0,15,0,32,0,1,0,26,4,0,1,8793,5550,50,3190,3,248,0,177,63,4,4,2,0,0,2,0,,NIL,,,0
3,2019,Lim Chu Kang East Mangrove,"Saturday, 2 November 2019",Singapore American School,Steve Early,26,33,271,30,2526,1594,13,79,19,10,811,2526,1594,0,63,56,30,28,1,56,81,20,824,56,24,69,210,1,8,50,17,13,4,1,8,0,19,0,0,1,13,5,0,0,811,488,11,311,1,79,0,62,17,0,0,10,9,0,0,1,,Horseshoe crab,,,"We worked on about a 30 stretch part of the inlet at the west end of the road, and about 30 meters parallel with the beach."
4,2019,Sungei Buloh WR West (C8 Mangrove),"Saturday, 19 October 2019",Nanyang Polytechnic - GEO Council,Oviya Namo,25,17,125,50,1393,652,7,72,17,0,645,1393,652,9,96,28,19,14,0,5,101,9,90,3,11,14,215,3,0,28,7,7,0,6,1,0,17,0,1,0,8,8,0,0,645,102,22,521,0,72,0,55,16,0,1,0,0,0,0,0,,NIL,,,0
5,2019,Changi Beach 1,"Saturday, 19 October 2019",Ricoh (Singapore) Pte Ltd,Felicia Kang,45,10,58,200,1944,1369,22,73,22,1,457,1944,1369,891,25,85,74,93,7,2,62,17,69,0,21,1,12,0,0,8,2,22,3,0,1,18,22,0,0,0,3,19,0,0,457,312,0,119,26,73,0,52,1,16,4,1,1,0,0,0,,NIL,,,"Neon Light, Broom Sticks, Toy car, cloth peg, hairband, comb, oil container (plastic), AA battery"
6,2019,Changi Beach 2,"Saturday, 19 October 2019",Mun Siong Engineering,Tan Yan Ling,20,4,13,200,1814,1382,5,128,23,0,276,1814,1382,1055,4,28,0,61,22,7,73,21,43,4,4,4,26,8,5,15,2,5,0,1,1,3,23,0,11,0,3,2,7,0,276,81,10,125,60,128,0,42,0,11,75,0,0,0,0,0,,NIL,,,0
7,2019,Changi Beach 4,"Saturday, 19 October 2019",Evergreen Marine Singapore Pte ltd,James ng,44,8,35,750,1291,844,32,41,30,0,344,1291,844,123,154,13,37,88,3,43,134,83,94,0,8,18,14,0,3,4,25,32,1,7,8,16,30,0,0,0,24,6,0,0,344,235,0,102,7,41,0,19,2,9,11,0,0,0,0,0,,Fish ,,,0
8,2019,Tanah Merah 1,"Saturday, 19 October 2019",PacificLight Energy Pte Ltd,Ng Zi Kang,17,8,29,200,560,305,6,43,34,0,172,560,305,30,5,10,11,30,0,7,15,4,98,2,8,12,10,2,16,18,27,6,1,4,1,0,34,0,0,17,6,11,0,0,172,86,0,56,30,43,0,25,0,13,5,0,0,0,0,0,,NIL,,,0
9,2019,Tanah Merah 7,"Saturday, 19 October 2019",Continental Automotive Singapore,"Lee Kok Woh, Akbar Khadar Shareef",61,51,286,500,3392,1541,66,147,41,1,1596,3392,1541,46,5,23,207,88,5,19,87,29,785,18,9,21,40,3,6,128,22,66,2,12,49,3,41,0,3,3,32,3,0,0,1596,1263,5,319,9,147,0,101,37,2,7,1,0,0,1,0,,Snake,,,"Sandals & slippers: 56, Football: 1, Pen: 1, Big plastic container: 1, Cloth: 4, Toothbrush: 1, Metal pieces: 2, Big long rope: 1, Spray can: 1, Plastic net: 2, Sponge: 1, Fluorescent tube: 1, Rubber items: 23, Light bulb: 4, Plastic inhaler: 1, Processed wood: 1"
10,2019,Tanah Merah 7,"Friday, 6 September 2019",French Chamber of Commerce,Sylvie BERTHAUD,530,196,776,350,10178,4914,105,647,158,26,4328,10178,4914,403,271,244,294,394,37,142,975,69,902,39,62,65,329,29,55,422,182,105,19,38,35,13,158,0,1,22,70,56,4,5,4328,3681,107,515,25,647,2,377,197,42,29,26,3,4,15,4,,NIL,,,"Face mask, Flip Flop/slipper/Safety shoe, Helmet, candle, bulb, pacifier, toys, handphone/headphone, luggage, toothbrush, mop handle, Sea sport equipment, pens, fuel canister, aerosol can, bags/luggage, toilet scrub, metal handle, nail, underwear, "
11,2019,Tanah Merah 7,"Saturday, 7 September 2019",JP Morgan,Green Nudge ,80,42,275,400,3701,2706,155,139,79,16,606,3701,2706,116,244,130,33,434,14,45,484,55,389,22,19,97,90,10,0,520,4,155,7,18,129,1,79,0,12,12,45,9,1,0,606,214,11,351,30,139,1,80,38,11,9,16,0,10,4,2,,NIL,,,"Sleeping Bag, Paintbrush (11 pieces), Slippers (19 pieces), lifevest, light bulb, lipstick (2)"
12,2019,Ketam Beach 2,"Friday, 18 October 2019",Reckitt Benckiser,Isaac Leong,25,30,170,100,1192,707,112,74,27,4,268,1192,707,10,39,51,21,48,12,19,51,25,74,29,7,160,90,3,21,25,22,112,0,10,26,76,27,5,1,0,6,9,0,6,268,106,25,125,12,74,0,19,38,14,3,4,2,2,0,0,,Crabs,,,0
13,2019,Ketam Beach 2,"Friday, 18 October 2019",Reckitt Benckiser,Isaac Leong,25,30,170,100,1192,707,112,74,27,4,268,1192,707,10,39,51,21,48,12,19,51,25,74,29,7,160,90,3,21,25,22,112,0,10,26,76,27,5,1,0,6,9,0,6,268,106,25,125,12,74,0,19,38,14,3,4,2,2,0,0,,Crabs,,,0
14,2019,Jelutong Beach,"Saturday, 19 October 2019",Resorts World Sentosa - S.E.A. Aquarium,Gwendolyn Chow,68,21,162,300,3193,852,81,306,34,0,1920,3193,852,7,31,56,6,109,1,9,180,37,54,18,16,8,299,4,0,14,3,81,4,17,60,0,34,5,0,0,20,9,0,0,1920,1524,51,330,15,306,0,37,3,263,3,0,0,0,0,0,,NIL,,,"Unusual items: 1 toothbrush, 1 plastic ball, 5 fabric, 1 slipper, 3 shoes, 16 batteries, 1 earpod, 281 wires, 6 stationery, 1 cloth bag, 1 pants, 8 toys, 1 Casette tape, 1 fishing pole, 1 paint can, 30 cloth, 4 porcelain pieces, 12 metal pieces"
15,2019,Sungei Ubin,"Saturday, 19 October 2019",Catholic High School,Leong Se Yean,40,11,92,200,1028,370,49,69,69,0,471,1028,370,14,44,11,7,28,4,3,57,10,23,21,6,59,59,7,3,13,1,49,1,6,32,10,69,1,1,15,3,49,0,0,471,194,131,134,12,69,0,56,4,9,0,0,0,0,0,0,,Bird,,,"Socks, Batteries, Air freshener, Boot, Drain Cover, Metal handle."
16,2019,East Coast Beach Site 3,"Saturday, 21 September 2019",Shinnyo-en Singapore,Athena Choi,108,26,152,500,3466,2281,34,58,74,2,1017,3466,2281,1417,135,12,66,88,42,29,249,30,83,4,15,13,24,9,23,31,11,34,1,5,20,8,74,1,10,4,11,10,38,0,1017,492,15,467,43,58,0,32,0,13,13,2,2,0,0,0,,NIL,,,"There are other items found like Slippers, Cables, Fruits and Veg, Food, Nylon strings, Rubber heel, Metal Rod/hook, Candle, Oil can, Wooden pieces, Toothpaste, seat cushion, milk bag, sponge, plasters/earplug/cotton bud."
17,2019,East Coast Beach Site 5,"Saturday, 12 October 2019",SATO Asia Pacific,Liau Li Xiang,58,3,6,450,3264,1756,14,153,62,1,1278,3264,1756,875,172,66,13,124,8,75,262,6,18,1,7,13,28,6,32,23,27,14,1,5,4,4,62,0,6,5,13,5,10,23,1278,553,36,600,89,153,0,64,6,9,74,1,1,0,0,0,,NIL,,,0
18,2019,East Coast Beach Site 6,"Saturday, 21 September 2019",Sing Investments & Finance Limited,Wendy Lee,75,11,61,1000,2539,1953,17,89,30,1,449,2539,1953,1027,332,16,42,100,15,15,152,55,79,1,10,14,10,10,26,28,21,17,0,5,8,4,30,0,13,0,6,1,10,0,449,330,6,61,52,89,0,61,11,11,6,1,0,1,0,0,,Fish x 3,,,"Ice cube maker, light bulb, laptop bag, paint pail, jerry can"
19,2019,East Coast (waters and beach near area G),"Saturday, 14 September 2019",Better Trails,Loh Chee Hwa,87,25,102,4000,5394,2620,50,245,77,2,2400,5394,2620,1098,195,41,86,278,31,31,269,30,169,6,9,68,115,1,23,141,29,50,0,3,38,9,77,0,50,5,18,3,1,0,2400,1795,16,559,30,245,0,167,7,6,65,2,0,1,1,0,,Tuna,,,"Battery Frame (1) Mothballs(2) Batteries (46) Paper(10) Wood Fragments (2) Can tab (5) Cork (6) Hair Tie (1) Metal Spring (3) String (4) Cloth (5) Aluminium(5) Wire (5) Button (1) Plastic Ball (2) Ice cream Stick (2) Flipflop (4) Lolipop Sticks (7) Satay Sticks (6) Battery Sticks (1) Cardboard (1) Plastic Leaf (1) Pen (3) Mosquito Patch (1) Tile (3) Stick (1) Toy (8) Nails (2) Filters (1) Money ($1.70) Lightbulb (2), Gloves (1) Candle (1) Shovel (1) "
20,2019,Marina East Beach,"Saturday, 14 September 2019",Waterways Watch Society,Diane Neo,100,85,740,410,741,334,176,0,80,0,151,741,334,0,25,44,19,0,0,0,2,2,235,2,5,0,0,0,0,0,0,176,0,0,176,0,80,30,0,0,0,0,0,50,151,63,3,85,0,0,0,0,0,0,0,0,0,0,0,0,,NIL,,,"a trolling rope, diameter 10cm, more than 10meters long, lots of shoes, life bouys, PFDs and diving fin"
21,2019,St John's Island,"Saturday, 21 September 2019",Cicada Tree Eco-Place,Teresa Guttensohn,10,4,12,200,566,176,5,35,3,0,347,566,176,75,23,3,0,19,2,2,17,1,12,0,2,1,8,0,0,11,0,5,0,0,5,0,3,0,0,0,3,0,0,0,347,233,1,103,10,35,0,16,0,18,1,0,0,0,0,0,,NIL,,,"old leather haversack, clothing, black rubber tubing, Razer label, fish descaler, wet wipes, pliers, pen cap, shoe sole, market pen (2), slippers, toothbrush, aerosol can, sponge"
22,2019,Sungei Pandan Mangroves 1,"Saturday, 7 September 2019",NUS Environmental Biology Interest Group (EVBIG),Liow Jia Zhen,24,59,214,150,6064,4007,31,184,42,2,1798,6064,4007,3,1111,67,48,305,1,50,694,86,835,8,106,169,416,0,3,89,16,31,0,8,23,0,42,0,5,0,34,3,0,0,1798,441,9,1345,3,184,0,86,0,25,73,2,1,0,1,0,,NIL,,,"1 pillow, 1 tool kit box, 3 shuttle cock, 3 slippers, 1 car window cleaner, 4 barrels, 3 jerry can, 1 banner, 1 canvas sheet, 22 pen/markers, 22 tennis balls,  1 spray can, 2 bamboo broom, 1 rubber shoe, 1 safety helmet, 1 "
23,2019,Chek Jawa South 4-5,"Thursday, 19 September 2019",School of the Arts (SOTA),Beatrice Low,5,9,23,100,426,278,5,15,12,0,116,426,278,0,4,6,1,5,0,1,2,6,146,2,2,13,1,0,2,84,3,5,0,1,4,0,12,2,1,0,2,7,0,0,116,113,0,3,0,15,0,8,7,0,0,0,0,0,0,0,,NIL,,,0
24,2019,Chek Jawa South 4-7,"Saturday, 19 October 2019",Anglo-Chinese Junior College Geography Students,Mark Ng,42,20,296,80,1106,737,25,134,7,2,201,1106,737,0,63,40,1,14,3,1,13,3,239,6,18,26,156,9,2,142,1,25,0,5,20,0,7,0,1,0,3,2,0,1,201,156,2,43,0,134,0,96,14,24,0,2,0,1,1,0,,Crab,,,0
25,2019,Chek Jawa South 1-3,"Saturday, 19 October 2019",Sukyo Mahikari,Michelle Lau,35,36,213,100,1363,812,42,86,47,0,376,1363,812,10,73,33,8,18,2,11,24,7,144,40,37,57,179,0,0,110,59,42,2,13,25,2,47,2,1,0,17,18,0,9,376,95,30,251,0,86,0,46,34,5,1,0,0,0,0,0,,NIL,,,0
26,2019,Chek  Jawa Central 1 & 2,"Saturday, 19 October 2019",Dunman Secondary School,Norlinda Ishnin,20,9,74,200,466,332,9,55,2,0,68,466,332,0,51,20,0,3,0,5,40,6,55,4,3,5,65,0,0,70,5,9,0,1,2,6,2,0,0,0,2,0,0,0,68,54,4,10,0,55,0,54,0,0,1,0,0,0,0,0,,Horseshoe crab,,,0
27,2019,Chek Jawa Central 1,"Saturday, 21 September 2019",GESS Dragon Scouts Chapter,Mark Ng,8,10,68,60,1325,528,43,44,8,0,702,1325,528,3,80,11,5,22,2,18,84,6,65,6,9,39,126,11,2,32,7,43,0,2,41,0,8,0,1,0,5,2,0,0,702,551,6,144,1,44,0,40,2,1,1,0,0,0,0,0,,0,,,"Washing Machine Filter, Shoe, Soles, Toiletries, Toothbrush, Masking Tape, Specacle Case, Religious Objects,Gloves, Foil Bag, Tray, Carpet Permanent Marker, Blue Chemical Containers, Bubble Wrap, Shower Cap, Slippers, Doremon Toy"
28,2019,Chek Jawa North 1 & 2,"Saturday, 19 October 2019",Bedok South Secondary School,Edzra Iskandar,45,55,285,250,1000,517,29,24,10,1,419,1000,517,16,45,33,6,36,0,0,4,0,160,5,7,27,145,0,7,18,8,29,2,0,7,20,10,2,0,0,6,0,0,2,419,168,15,236,0,24,0,0,24,0,0,1,0,1,0,0,,Crab,,,Seems like less rubbish compared to last year. More smaller debris.
29,2019,Sungei Loyang mangrove,"Saturday, 12 October 2019",NUS Toddycats,"Joys Tan, Joleen Chan, Liz Lim",17,21,122,100,1903,1283,137,63,32,0,388,1903,1283,7,136,147,26,148,0,37,162,47,318,30,11,44,140,0,1,26,3,137,4,13,120,0,32,3,2,3,22,1,0,1,388,127,5,253,3,63,2,38,11,6,6,0,0,0,0,0,,Horseshoe crab,,,0
30,2019,Sungei Tampines - West Bank,"Saturday, 21 September 2019",TA Corporation Ltd,TA Corporation Ltd,46,12,67,25,1281,1097,21,34,5,1,123,1281,1097,57,59,10,3,19,2,0,481,9,15,11,15,105,236,30,4,41,0,21,1,3,12,5,5,0,0,0,5,0,0,0,123,37,12,66,8,34,0,23,2,6,3,1,1,0,0,0,,NIL,,,"Paint Brush - 1, Ceramic piece - 1, Pen - 1, Plastic Tie - 1,Chopstick - 1, Aluminium Foil - 4, rubber ring - 1, battery - 2, safety net - 1"
31,2019,Pasir Ris Beach 2,"Saturday, 19 October 2019",Bukit Batok Secondary School,Tan Thiam Chye / Syam Lal,80,120,118,80,3417,3268,8,68,44,0,29,3417,3268,5,76,331,7,381,2,3,700,129,202,16,13,1124,138,0,0,70,71,8,0,0,7,1,44,33,0,0,7,4,0,0,29,29,0,0,0,68,0,66,2,0,0,0,0,0,0,0,,Horshoe crab,,,0
